name,school
Countermeasures Council,Abydos High School
Pandemonium Society,Gehenna School
Prefect Team,Gehenna School
Gourmet Research Society,Gehenna School
School Lunch Club,Gehenna School
Emergency Medicine Club,Gehenna School
Hot Spring Department,Gehenna School
To return home,Gehenna School
Seminar,Millennium Science School
Game Development Department,Millennium Science School
Veritas,Millennium Science School
Cleaning & Clearing,Millennium Science School
Engineering Department,Millennium Science School
Gym Training Department,Millennium Science School
